,date,account_value
0,2023-10-02,1000000.0
1,2023-10-03,998339.0730819397
2,2023-10-04,997778.1150673485
3,2023-10-05,996285.0157646084
4,2023-10-06,1001056.1957698802
5,2023-10-09,1004722.761989685
6,2023-10-10,1011092.7770064182
7,2023-10-11,1009254.8816922093
8,2023-10-12,1000526.5839845906
9,2023-10-13,996103.5128647023
10,2023-10-16,1006378.5291133119
11,2023-10-17,1007584.8673322736
12,2023-10-18,994070.5098807793
13,2023-10-19,991308.5804905472
14,2023-10-20,978322.7075817796
15,2023-10-23,977093.2182844983
16,2023-10-24,986881.2099762136
17,2023-10-25,975918.381157305
18,2023-10-26,966360.15954558
19,2023-10-27,960984.4323143751
20,2023-10-30,975720.8785350153
21,2023-10-31,983497.7068801443
22,2023-11-01,991708.8003649733
23,2023-11-02,1008306.7588735945
24,2023-11-03,1009914.0286125928
25,2023-11-06,1012439.5565988218
26,2023-11-07,1021170.5655786191
27,2023-11-08,1019822.4196283018
28,2023-11-09,1012273.8735620176
29,2023-11-10,1025775.0157523558
30,2023-11-13,1027752.8295035765
31,2023-11-14,1043089.8053603575
32,2023-11-15,1045387.9226088927
33,2023-11-16,1036153.8890166685
34,2023-11-17,1033160.4177995092
35,2023-11-20,1043056.6376203977
36,2023-11-21,1039031.8177047864
37,2023-11-22,1042527.7061399939
38,2023-11-24,1045945.7084531271
39,2023-11-27,1046490.7108830892
40,2023-11-28,1052484.1431149924
41,2023-11-29,1058122.7681531394
42,2023-11-30,1095489.598174044
43,2023-12-01,1109338.996169039
44,2023-12-04,1093474.7128323996
45,2023-12-05,1089847.058165499
46,2023-12-06,1081752.3491124595
47,2023-12-07,1081778.9208531096
48,2023-12-08,1083034.0634693815
49,2023-12-11,1086925.553760977
50,2023-12-12,1096657.8225926228
51,2023-12-13,1107232.809447176
52,2023-12-14,1103216.3625439473
53,2023-12-15,1112136.2589106467
54,2023-12-18,1121647.0769135267
55,2023-12-19,1126477.8627630179
