,a2c,ddpg,td3,ppo,sac,mean var,dji
2023-10-25,975918.381157305,993288.5553898124,988482.3123090056,1002435.105298061,997492.0226756289,999150.4918161589,988113.0112170458
2023-10-26,966360.15954558,992191.9919513969,982827.5497014312,995230.743708988,986551.7786036684,987096.6361735228,980586.7269981392
2023-10-27,960984.4323143751,976636.2078213005,971238.1134717254,996288.9625007304,978922.92632782,984379.4656770212,969618.3101221203
2023-10-30,975720.8785350153,989940.7086948662,985586.2175977019,1003949.5079261282,995193.0488978579,997319.9413777965,984913.5488538414
2023-10-31,983497.7068801443,996518.5290378837,986560.8648679046,1006799.2459383869,1002911.5218058779,1003859.78593589,988619.7329621969
2023-11-01,991708.8003649733,1003512.4914058952,991447.316047409,1013545.5463968602,1010452.1015406802,1009842.7143842732,995251.0463330848
2023-11-02,1008306.7588735945,1015686.4626774101,1009579.3299443511,1019575.5081371097,1026943.4044238284,1025882.2537164416,1012135.3840862033
2023-11-03,1009914.0286125928,1022678.5032200126,1015205.1089856414,1022471.3457411977,1031007.7228976443,1023051.4017428117,1018782.704115861
2023-11-06,1012439.5565988218,1026367.7175831108,1016055.4158360747,1025101.6008609143,1032290.1850520327,1028738.9704992354,1019815.7762096185
2023-11-07,1021170.5655786191,1024300.862514904,1017878.7406461028,1032220.6126707993,1036618.4294749453,1035724.024830585,1021512.949386945
2023-11-08,1019822.4196283018,1020119.6376461296,1016405.7653424529,1032958.9099855004,1036391.5888796999,1036528.9540574339,1020306.6081329249
2023-11-09,1012273.8735620176,1010385.555382183,1007972.8183553008,1030471.3241793823,1030683.8147364809,1030307.3740975653,1013716.5381966782
2023-11-10,1025775.0157523558,1021039.4066509514,1018491.876430252,1042232.4102502078,1044410.8025942995,1042758.5124491131,1025416.2373883302
2023-11-13,1027752.8295035765,1021501.6503376274,1019036.9795872954,1040832.4705088843,1046490.0893527224,1040357.7251780977,1027054.4079183657
